DATE,SP500_PCH
11/29/19,0.941
12/6/19,-0.8134
12/13/19,1.05441
12/20/19,1.61435
12/27/19,0.98396
1/3/20,0.13499
1/10/20,0.5908
1/17/20,1.41578
1/24/20,0.43883
1/31/20,-1.67067
2/7/20,1.54725
2/14/20,1.74392
2/21/20,-0.05412
2/28/20,-8.49936
3/6/20,-1.1909
3/13/20,-10.89485
3/20/20,-11.3119
3/27/20,2.52832
4/3/20,2.96355
4/10/20,6.94103
4/17/20,3.58319
4/24/20,-0.50899
5/1/20,3.07963
5/8/20,-0.37388
5/15/20,-0.23625
5/22/20,2.90012
5/29/20,2.54199
6/5/20,2.89722
6/12/20,0.69011
6/19/20,-0.99036
6/26/20,-0.80945
7/3/20,0.69489
7/10/20,2.14733
7/17/20,1.18449
7/24/20,1.35365
7/31/20,-0.01737
8/7/20,2.43753
8/14/20,1.15134
8/21/20,0.64504
8/28/20,2.4626
9/4/20,0.82802
9/11/20,-4.15167
9/18/20,0.49518
9/25/20,-2.77864
10/2/20,2.44655
10/9/20,1.98864
10/16/20,2.27301
10/23/20,-1.58548
10/30/20,-3.37734
11/6/20,3.00419
11/13/20,3.78073
11/20/20,0.85881
11/27/20,0.87836
12/4/20,1.20257
12/11/20,0.43485
12/18/20,0.41623
12/25/20,-0.03306
1/1/21,1.18617
1/8/21,0.62062
1/15/21,0.90571
1/22/21,1.09197
1/29/21,-1.16911
2/5/21,1.22137
2/12/21,2.07933
2/19/21,0.09108
2/26/21,-1.43815
3/5/21,-0.62902
3/12/21,1.43754
3/19/21,1.31454
3/26/21,-0.55751
4/2/21,1.42013
4/9/21,2.78737
4/16/21,1.42909
4/23/21,0.17658
4/30/21,0.78603
5/7/21,0.04282
5/14/21,-1.28445
5/21/21,0.15399
5/28/21,1.27586
6/4/21,0.26191
6/11/21,0.56473
6/18/21,-0.21834
6/25/21,0.69391
7/2/21,1.37313
7/9/21,0.87165
7/16/21,0.34627
7/23/21,-0.43923
7/30/21,1.47011
8/6/21,0.1805
8/13/21,0.75657
8/20/21,-0.31512
8/27/21,1.19857
9/3/21,0.92071
9/10/21,-0.73071
9/17/21,-0.81499
9/24/21,-1.28794
10/1/21,-0.87334
10/8/21,-0.08685
10/15/21,0.84602
10/22/21,2.96421
10/29/21,1.1388
11/5/21,1.69353
11/12/21,0.35778
11/19/21,0.46688
11/26/21,-0.58667
12/3/21,-2.08384
12/10/21,2.22425
12/17/21,-0.2435
12/24/21,-0.01167
12/31/21,2.64388
1/7/22,-1.05266
1/14/22,-0.98112
1/21/22,-4.02625
1/28/22,-2.72723
2/4/22,3.44948
2/11/22,-0.50434
2/18/22,-1.94725
2/25/22,-2.59261
3/4/22,1.18388
3/11/22,-2.96703
3/18/22,2.62728
3/25/22,3.80299
4/1/22,1.74989
4/8/22,-1.34773
4/15/22,-2.28525
4/22/22,-0.37468
4/29/22,-4.11342
5/6/22,-0.82312
5/13/22,-4.87914
5/20/22,-0.2955
5/27/22,1.4496
6/3/22,2.6772
6/10/22,-1.60722
6/17/22,-8.36682
6/24/22,2.27472
7/1/22,0.58304
7/8/22,1.02807
7/15/22,-1.13467
7/22/22,2.92479
7/29/22,2.16477
8/5/22,2.72394
8/12/22,1.44259
8/19/22,2.04392
8/26/22,-3.38652
9/2/22,-3.87814
9/9/22,0.44868
9/16/22,-0.94331
9/23/22,-3.87992
9/30/22,-3.94542
10/7/22,2.13378
10/14/22,-3.24937
10/21/22,2.66415
10/28/22,3.69384
11/4/22,-1.13152
11/11/22,1.8683
11/18/22,2.51847
11/25/22,0.95337
12/2/22,0.70632
12/9/22,-1.87613
12/16/22,-0.0924
12/23/22,-2.87901
12/30/22,-0.30424
1/6/23,0.51656
1/13/23,2.79759
1/20/23,-0.12193
1/27/23,2.25369
2/3/23,1.71349
2/10/23,0.17087
2/17/23,0.12458
2/24/23,-3.04549
3/3/23,-0.16364
3/10/23,-0.62245
3/17/23,-1.32687
3/24/23,1.36728
3/31/23,1.64367
4/7/23,1.93123
4/14/23,0.33238
4/21/23,0.63203
4/28/23,-0.74566
5/5/23,0.03004
5/12/23,0.35945
5/19/23,0.70389
5/26/23,0.07309
6/2/23,1.44518
6/9/23,1.45434
6/16/23,2.3252
6/23/23,-0.27462
6/30/23,0.34378
7/7/23,0.95882
7/14/23,0.88172
7/21/23,1.6936
7/28/23,0.4129
8/4/23,-0.65541
8/11/23,-1.06179
8/18/23,-1.54529
8/25/23,-0.30188
9/1/23,2.10808
9/8/23,-0.58108
9/15/23,0.15017
9/22/23,-1.88841
9/29/23,-2.17091
10/6/23,-0.58189
10/13/23,1.8735
10/20/23,-0.84903
10/27/23,-3.04912
11/3/23,1.76269
11/10/23,2.89138
11/17/23,2.47906
11/24/23,1.42438
12/1/23,0.29192
12/8/23,0.25387
12/15/23,2.34177
12/22/23,1.26726
12/29/23,0.75174
1/5/24,-1.44405
1/12/24,1.38311
1/19/24,0.16703
1/26/24,1.92946
2/2/24,0.79873
2/9/24,1.4382
2/16/24,0.3785
2/23/24,0.62171
3/1/24,1.13006
3/8/24,0.56812
3/15/24,0.51056
3/22/24,1.17457
3/29/24,0.48986
4/5/24,-0.54727
4/12/24,-0.45059
4/19/24,-3.01837
4/26/24,0.74608
5/3/24,0.24141
5/10/24,2.48649
5/17/24,1.47637
5/24/24,0.5023
5/31/24,-0.57201
6/7/24,1.0291
6/14/24,1.4787
6/21/24,1.29552
6/28/24,-0.12473
